,0
0,-8.02466074625651
1,-8.02466074625651
2,-8.02466074625651
3,-8.02466074625651
4,-8.02466074625651
5,-8.02466074625651
6,-8.02466074625651
7,-8.02466074625651
8,-8.02466074625651
9,-8.02466074625651
10,-8.02466074625651
11,-8.02466074625651
12,-7.977641249696414
13,-7.977641249696414
14,-7.977641249696414
15,-7.977641249696414
16,-7.977641249696414
17,-7.977641249696414
18,-7.977641249696414
19,-7.977641249696414
20,-7.977641249696414
21,-7.977641249696414
22,-7.977641249696414
23,-7.977641249696414
24,-7.977641249696414
25,-7.977641249696414
26,-7.977641249696414
27,-7.977641249696414
28,-7.977641249696414
29,-7.977641249696414
30,-7.977641249696414
31,-7.977641249696414
32,-7.977641249696414
33,-7.977641249696414
34,-7.977641249696414
35,-7.977641249696414
36,-7.977641249696414
37,-7.977641249696414
38,-7.977641249696414
39,-7.977641249696414
40,-7.977641249696414
41,-7.977641249696414
42,-7.977641249696414
43,-7.977641249696414
44,-7.91531592743316
45,-7.91531592743316
46,-7.91531592743316
47,-7.91531592743316
48,-7.91531592743316
49,-7.91531592743316
50,-7.91531592743316
51,-7.91531592743316
52,-7.91531592743316
53,-7.91531592743316
54,-7.91531592743316
55,-7.91531592743316
56,-7.91531592743316
57,-7.91531592743316
58,-7.91531592743316
59,-7.91531592743316
60,-7.91531592743316
61,-7.91531592743316
62,-7.91531592743316
63,-7.91531592743316
64,-7.91531592743316
65,-7.91531592743316
66,-7.91531592743316
67,-7.91531592743316
68,-7.91531592743316
69,-7.91531592743316
70,-7.91531592743316
71,-7.91531592743316
72,-7.91531592743316
73,-7.91531592743316
74,-7.91531592743316
75,-7.91531592743316
76,-7.91531592743316
77,-7.91531592743316
78,-7.91531592743316
79,-7.91531592743316
80,-7.91531592743316
81,-7.91531592743316
82,-7.91531592743316
83,-7.91531592743316
84,-7.91531592743316
85,-7.91531592743316
86,-7.91531592743316
87,-7.91531592743316
88,-7.91531592743316
89,-7.899856326012393
90,-7.899856326012393
91,-7.899856326012393
92,-7.899856326012393
93,-7.899856326012393
94,-7.899856326012393
95,-7.899856326012393
96,-7.899856326012393
97,-7.899856326012393
98,-7.899856326012393
99,-7.899856326012393
100,-7.899856326012393
101,-7.899856326012393
102,-7.899856326012393
103,-7.899856326012393
104,-7.88442691912565
